Date of Download: 2023-07-12_21:10:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Search Parameters: Data Level:all  Trait List:  Trial List:10602,10601,9115,9116,10600,10576,11389,11388,11391,11390  Accession List:  Plot List:  Plant List:  Location List:  Year List:  Include Timestamp:0  Trait Contains:  Minimum Phenotype:   Maximum Phenotype:  Exclude Phenotype Outlier: 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
studyYear,programDbId,programName,programDescription,studyDbId,studyName,studyDescription,studyDesign,plotWidth,plotLength,fieldSize,fieldTrialIsPlannedToBeGenotyped,fieldTrialIsPlannedToCross,plantingDate,harvestDate,locationDbId,locationName,germplasmDbId,germplasmName,germplasmSynonyms,observationLevel,observationUnitDbId,observationUnitName,replicate,blockNumber,plotNumber,rowNumber,colNumber,entryType,plantNumber,Cassava mosaic disease severity|at harvesting|COMP:0000294,branching level counting|CO_334:0000079,cassava mosaic disease severity 1-month evaluation|CO_334:0000191,cassava mosaic disease severity 12-month evaluation|CO_334:0000199,cassava mosaic disease severity 3-month evaluation|CO_334:0000192,cassava mosaic disease severity 6-month evaluation|CO_334:0000194,cassava mosaic disease severity 9-month evaluation|CO_334:0000193,cassava mosaic disease severity|month 10|COMP:0000260,dry matter content by specific gravity method|CO_334:0000160,first apical branch height measurement in cm|CO_334:0000106,fresh root yield|CO_334:0000013,fresh shoot weight measurement in kg per plot|CO_334:0000016,fresh storage root weight per plot|CO_334:0000012,harvest index variable|CO_334:0000015,marketable root number counting|CO_334:0000169,number of planted stakes per plant counting|CO_334:0000300,number of planted stakes per plot counting|CO_334:0000159,plant height measurement in cm|CO_334:0000018,plant stands harvested counting|CO_334:0000010,root color visual rating 1-3|CO_334:0000221,root number per plant counting|CO_334:0002128,root number per plot counting|CO_334:0000011,rotted storage root counting|CO_334:0000084,sprout count discrete counting|CO_334:0000138,starch content percentage|CO_334:0000071,notes
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,2731984,AR18-1,,plot,3661319,2021100MDAYT_phuy_rep1_AR18-1_2,1,1,2,1,2,test,,,2,1,,1,,,1,1.755555556,217.3333333,11.11111111,,,0.454545455,,,25,253.6666667,,,,,,,15.8," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,61468,AR35-1,,plot,3661266,2021100MDAYT_phuy_rep1_AR35-1_47,1,1,47,6,2,test,,,3,1,,1,,,1,5.333333333,126.6666667,26.66666667,,,0.571428571,,,25,258.3333333,,,,,,,20," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,2732001,AR9-48,,plot,3661274,2021100MDAYT_phuy_rep1_AR9-48_75,1,1,75,9,3,test,,,2,1,,1,,,1,4.6,224.3333333,20,,,0.473684211,,,25,262.6666667,,,,,,,23," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,2732004,AR9-63,,plot,3661318,2021100MDAYT_phuy_rep1_AR9-63_65,1,1,65,8,2,test,,,3,1,,1,,,1,5.066666667,181.6666667,22.22222222,,,0.512820513,,,25,237.3333333,,,,,,,22.8," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,61463,CR13-8,,plot,3661277,2021100MDAYT_phuy_rep1_CR13-8_28,1,1,28,4,1,test,,,1.666666667,1,,1,,,1,3.596666667,194,18.44444444,,,0.525316456,,,25,246.6666667,,,,,,,19.5," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,2732020,CR24-16,,plot,3661310,2021100MDAYT_phuy_rep1_CR24-16_21,1,1,21,3,3,test,,,0,1,,1,,,1,6.008888889,189.6666667,28.88888889,,,0.590909091,,,25,189.6666667,,,,,,,20.8," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,2732022,CR25-4,,plot,3661299,2021100MDAYT_phuy_rep1_CR25-4_20,1,1,20,3,2,test,,,0,1,,1,,,1,1.573333333,221.6666667,6.666666667,,,0.428571429,,,25,221.6666667,,,,,,,23.6," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,42444,CR60B10,CR60B-10,plot,3661311,2021100MDAYT_phuy_rep1_CR60B-10_1,1,1,1,1,1,test,,,3.333333333,1,,1,,,1,3.375555556,96,15.55555556,,,0.368421053,,,25,251,,,,,,,21.7," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,2842215,HL-S11,,plot,3661304,2021100MDAYT_phuy_rep1_HL-S11_64,1,1,64,8,1,check,,,0,1,,2.285714286,,,4,,214,,,,,,,25,214,,,,,,,," (Operator: lizbethpino, Time: )"
2021,174,CIAT,"CIAT cassava breeding, Cali, Colombia",9115,2021100MDAYT_phuy,2021100MDAYT_phuy,RCBD,3,5,,no,no,2021-January-27,2021-December-01,469,Phu Yen,3661242,HL-S14,,plot,3661279,2021100MDAYT_phuy_rep1_HL-S14_73,1,1,73,9,1,test,,,0.333333333,1,,1.888888889,,,2.888888889,3.266666667,50,15.55555556,,,0.583333333,,,25,187.3333333,,,,,,,21," (Operator: lizbethpino, Time: )"
