"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","CMD_harvest","branch_number","CMD_1mon","CMD_12mon","CMD_3mon","CMD_6mon","CMD_9mon","CMD_10mon","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","harvest_index","root_number_commercial","stake_plant","planted_number_plot","height","harvest_number","root_skin_color1_3","root_plant_number","root_number","root_rot_number","germinated_number_plot","starch_content","starch_yield_ha"
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_AR18-1_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","AR18-1","test",1,2,1,NA,1,NA,NA,1,217.3333333,11.11111111,NA,NA,0.454545455,NA,NA,25,253.6666667,NA,NA,NA,NA,NA,NA,15.8,1.75555555538
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_AR35-1_47",1,47,6,2,"test"," (Operator: lizbethpino, Time: )","AR35-1","test",1,3,1,NA,1,NA,NA,1,126.6666667,26.66666667,NA,NA,0.571428571,NA,NA,25,258.3333333,NA,NA,NA,NA,NA,NA,20,5.333333334
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_AR9-48_75",1,75,9,3,"test"," (Operator: lizbethpino, Time: )","AR9-48","test",1,2,1,NA,1,NA,NA,1,224.3333333,20,NA,NA,0.473684211,NA,NA,25,262.6666667,NA,NA,NA,NA,NA,NA,23,4.6
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_AR9-63_65",1,65,8,2,"test"," (Operator: lizbethpino, Time: )","AR9-63","test",1,3,1,NA,1,NA,NA,1,181.6666667,22.22222222,NA,NA,0.512820513,NA,NA,25,237.3333333,NA,NA,NA,NA,NA,NA,22.8,5.06666666616
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_CR13-8_28",1,28,4,1,"test"," (Operator: lizbethpino, Time: )","CR13-8","test",1,1.666666667,1,NA,1,NA,NA,1,194,18.44444444,NA,NA,0.525316456,NA,NA,25,246.6666667,NA,NA,NA,NA,NA,NA,19.5,3.5966666658
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_CR24-16_21",1,21,3,3,"test"," (Operator: lizbethpino, Time: )","CR24-16","test",1,0,1,NA,1,NA,NA,1,189.6666667,28.88888889,NA,NA,0.590909091,NA,NA,25,189.6666667,NA,NA,NA,NA,NA,NA,20.8,6.00888888912
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_CR25-4_20",1,20,3,2,"test"," (Operator: lizbethpino, Time: )","CR25-4","test",1,0,1,NA,1,NA,NA,1,221.6666667,6.666666667,NA,NA,0.428571429,NA,NA,25,221.6666667,NA,NA,NA,NA,NA,NA,23.6,1.573333333412
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen","CR60B-10","2021100MDAYT_phuy_rep1_CR60B-10_1",1,1,1,1,"test"," (Operator: lizbethpino, Time: )","CR60B10","test",1,3.333333333,1,NA,1,NA,NA,1,96,15.55555556,NA,NA,0.368421053,NA,NA,25,251,NA,NA,NA,NA,NA,NA,21.7,3.37555555652
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_HL-S11_64",1,64,8,1,"check"," (Operator: lizbethpino, Time: )","HL-S11","test",4,0,1,NA,2.285714286,NA,NA,4,214,NA,NA,NA,NA,NA,NA,25,214,NA,NA,NA,NA,NA,NA,NA,NA
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_HL-S14_73",1,73,9,1,"test"," (Operator: lizbethpino, Time: )","HL-S14","test",2.888888889,0.333333333,1,NA,1.888888889,NA,NA,2.888888889,50,15.55555556,NA,NA,0.583333333,NA,NA,25,187.3333333,NA,NA,NA,NA,NA,NA,21,3.2666666676
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen",NA,"2021100MDAYT_phuy_rep1_HLS15_39",1,39,5,3,"test"," (Operator: lizbethpino, Time: )","HLS15","test",3.6,0,1.1,NA,1.25,NA,NA,3.6,143.3333333,22.22222222,NA,NA,0.666666667,NA,NA,25,143.3333333,NA,NA,NA,NA,NA,NA,19.3,4.28888888846
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen","92/0057,920057,I920057,TMS 92/0057,TMS920057,TMS-I920057","2021100MDAYT_phuy_rep1_IITA-TMS-IBA920057_56",1,56,7,2,"test"," (Operator: lizbethpino, Time: )","IITA-TMS-IBA920057","test",1,0,1,NA,1,NA,NA,1,304.6666667,25.55555556,NA,NA,0.555555556,NA,NA,25,304.6666667,NA,NA,NA,NA,NA,NA,19.2,4.90666666752
2021,"2021100MDAYT_phuy","2021100MDAYT_phuy",3,5,"2021-January-27","2021-December-01","Phu Yen","97/2205,I972205,TMS 97/2205,TMS972205,TMS-I972205","2021100MDAYT_phuy_rep1_IITA-TMS-IBA972205_38",1,38,5,2,"test"," (Operator: lizbethpino, Time: )","IITA-TMS-IBA972205","test",1,1.666666667,1,NA,1,NA,NA,1,146.3333333,17.77777778,NA,NA,0.5,NA,NA,25,245,NA,NA,NA,NA,NA,NA,16.5,2.9333333337
